Date,Year,Month,Week,Day
2024-07-13,2024,Jul 2024,28,Saturday
2024-07-14,2024,Jul 2024,28,Sunday
2024-07-15,2024,Jul 2024,29,Monday
2024-07-16,2024,Jul 2024,29,Tuesday
2024-07-17,2024,Jul 2024,29,Wednesday
2024-07-18,2024,Jul 2024,29,Thursday
2024-07-19,2024,Jul 2024,29,Friday
2024-07-20,2024,Jul 2024,29,Saturday
2024-07-21,2024,Jul 2024,29,Sunday
2024-07-22,2024,Jul 2024,30,Monday
2024-07-23,2024,Jul 2024,30,Tuesday
2024-07-24,2024,Jul 2024,30,Wednesday
2024-07-25,2024,Jul 2024,30,Thursday
2024-07-26,2024,Jul 2024,30,Friday
2024-07-27,2024,Jul 2024,30,Saturday
2024-07-28,2024,Jul 2024,30,Sunday
2024-07-29,2024,Jul 2024,31,Monday
2024-07-30,2024,Jul 2024,31,Tuesday
2024-07-31,2024,Jul 2024,31,Wednesday
2024-08-01,2024,Aug 2024,31,Thursday
2024-08-02,2024,Aug 2024,31,Friday
2024-08-03,2024,Aug 2024,31,Saturday
2024-08-04,2024,Aug 2024,31,Sunday
2024-08-05,2024,Aug 2024,32,Monday
2024-08-06,2024,Aug 2024,32,Tuesday
2024-08-07,2024,Aug 2024,32,Wednesday
2024-08-08,2024,Aug 2024,32,Thursday
2024-08-09,2024,Aug 2024,32,Friday
2024-08-10,2024,Aug 2024,32,Saturday
2024-08-11,2024,Aug 2024,32,Sunday
2024-08-12,2024,Aug 2024,33,Monday
2024-08-13,2024,Aug 2024,33,Tuesday
2024-08-14,2024,Aug 2024,33,Wednesday
2024-08-15,2024,Aug 2024,33,Thursday
2024-08-16,2024,Aug 2024,33,Friday
2024-08-17,2024,Aug 2024,33,Saturday
2024-08-18,2024,Aug 2024,33,Sunday
2024-08-19,2024,Aug 2024,34,Monday
2024-08-20,2024,Aug 2024,34,Tuesday
2024-08-21,2024,Aug 2024,34,Wednesday
2024-08-22,2024,Aug 2024,34,Thursday
2024-08-23,2024,Aug 2024,34,Friday
2024-08-24,2024,Aug 2024,34,Saturday
2024-08-25,2024,Aug 2024,34,Sunday
2024-08-26,2024,Aug 2024,35,Monday
2024-08-27,2024,Aug 2024,35,Tuesday
2024-08-28,2024,Aug 2024,35,Wednesday
2024-08-29,2024,Aug 2024,35,Thursday
2024-08-30,2024,Aug 2024,35,Friday
2024-08-31,2024,Aug 2024,35,Saturday
2024-09-01,2024,Sep 2024,35,Sunday
2024-09-02,2024,Sep 2024,36,Monday
2024-09-03,2024,Sep 2024,36,Tuesday
2024-09-04,2024,Sep 2024,36,Wednesday
2024-09-05,2024,Sep 2024,36,Thursday
2024-09-06,2024,Sep 2024,36,Friday
2024-09-07,2024,Sep 2024,36,Saturday
2024-09-08,2024,Sep 2024,36,Sunday
2024-09-09,2024,Sep 2024,37,Monday
2024-09-10,2024,Sep 2024,37,Tuesday
2024-09-11,2024,Sep 2024,37,Wednesday
2024-09-12,2024,Sep 2024,37,Thursday
2024-09-13,2024,Sep 2024,37,Friday
