OrderID,BuyerID,SellerID,Price,Discount,OrderDate,Category
O3000,B2374,S1044,798.04,0.13,2024-08-21,Fashion
O3001,B2427,S1011,265.33,0.25,2024-08-18,Electronics
O3002,B2304,S1047,1157.89,0.26,2024-12-07,Grocery
O3003,B2359,S1032,1705.73,0.07,2024-08-19,Beauty
O3004,B2458,S1044,1612.26,0.17,2024-11-29,Fashion
O3005,B2316,S1025,432.73,0.06,2025-06-07,Electronics
O3006,B2450,S1038,1378.25,0.03,2024-11-23,Home & Kitchen
O3007,B2122,S1027,518.96,0.27,2025-03-04,Fashion
O3008,B2389,S1004,514.59,0.25,2024-10-23,Grocery
O3009,B2008,S1007,1760.74,0.23,2025-05-22,Electronics
O3010,B2261,S1024,574.37,0.01,2024-07-29,Home & Kitchen
O3011,B2072,S1026,600.17,0.25,2025-04-22,Electronics
O3012,B2358,S1045,101.24,0.13,2025-01-07,Home & Kitchen
O3013,B2222,S1022,1754.27,0.1,2025-02-06,Beauty
O3014,B2415,S1029,1605.93,0.16,2024-08-30,Beauty
O3015,B2040,S1044,1291.92,0.03,2025-07-06,Fashion
O3016,B2369,S1046,1525.5,0.23,2024-12-07,Fashion
O3017,B2203,S1022,388.89,0.17,2024-08-12,Beauty
O3018,B2263,S1048,970.81,0.06,2025-02-12,Fashion
O3019,B2327,S1046,767.32,0.06,2024-11-03,Fashion
O3020,B2177,S1019,278.18,0.06,2025-05-31,Beauty
O3021,B2347,S1017,1023.65,0.02,2025-03-14,Grocery
O3022,B2317,S1017,1849.41,0.18,2025-03-10,Grocery
O3023,B2083,S1001,176.11,0.25,2025-06-21,Grocery
O3024,B2317,S1003,653.78,0.01,2025-06-12,Grocery
O3025,B2110,S1029,494.33,0.01,2024-11-30,Beauty
O3026,B2250,S1032,552.48,0.17,2025-02-22,Beauty
O3027,B2382,S1035,1826.03,0.25,2024-09-25,Grocery
O3028,B2006,S1017,989.33,0.1,2025-04-12,Grocery
O3029,B2458,S1036,985.97,0.1,2024-08-09,Electronics
O3030,B2083,S1018,1545.09,0.18,2024-07-30,Home & Kitchen
O3031,B2207,S1046,393.54,0.08,2025-03-26,Fashion
O3032,B2387,S1027,1025.8,0.01,2024-10-09,Fashion
O3033,B2389,S1039,916.97,0.22,2025-05-09,Fashion
O3034,B2313,S1019,1234.13,0.19,2024-11-02,Beauty
O3035,B2021,S1048,1999.16,0.17,2024-08-12,Fashion
O3036,B2409,S1032,1561.95,0.22,2025-06-10,Beauty
O3037,B2382,S1011,855.94,0.2,2024-10-11,Electronics
O3038,B2002,S1014,1672.35,0.06,2025-06-14,Beauty
O3039,B2126,S1040,424.35,0.11,2024-08-21,Beauty
O3040,B2296,S1038,157.88,0.04,2024-12-07,Home & Kitchen
O3041,B2187,S1001,488.45,0.04,2024-10-28,Grocery
O3042,B2361,S1028,746.78,0.2,2025-01-05,Beauty
O3043,B2013,S1040,1070.1,0.26,2025-03-16,Beauty
O3044,B2458,S1009,1268.75,0.29,2025-06-01,Grocery
